gene_id,chromosome,strand,tss_position,extracted_start,extracted_end,sequence_length
AT1G01725,1,-,270859,270859,271858,1000
AT1G01730,1,+,270797,269798,270797,1000
AT1G01740,1,-,274930,274930,275929,1000
AT1G01750,1,+,275188,274189,275188,1000
AT1G01760,1,-,278599,278599,279598,1000
AT1G01770,1,+,278600,277601,278600,1000
AT1G01780,1,+,282761,281762,282761,1000
AT1G01790,1,+,284350,283351,284350,1000
AT1G01800,1,+,293246,292247,293246,1000
AT1G01810,1,+,295207,294208,295207,1000
AT1G01820,1,-,298334,298334,299333,1000
AT1G01830,1,-,302310,302310,303309,1000
AT1G01840,1,+,303537,302538,303537,1000
AT1G01860,1,-,306310,306310,307309,1000
AT1G01880,1,-,309541,309541,310540,1000
AT1G01900,1,+,310169,309170,310169,1000
AT1G01910,1,-,316090,316090,317089,1000
AT1G01920,1,+,315983,314984,315983,1000
AT1G01930,1,-,322895,322895,323894,1000
AT1G01940,1,+,322886,321887,322886,1000
AT1G01950,1,+,325316,324317,325316,1000
AT1G01960,1,-,337912,337912,338911,1000
AT1G01970,1,+,338241,337242,338241,1000
AT1G01980,1,-,342040,342040,343039,1000
AT1G01990,1,-,344400,344400,345399,1000
AT1G02000,1,+,345516,344517,345516,1000
AT1G02010,1,+,347613,346614,347613,1000
AT1G02020,1,-,355124,355124,356123,1000
AT1G02030,1,-,357258,357258,358257,1000
AT1G02040,1,-,359078,359078,360077,1000
AT1G02050,1,-,360746,360746,361745,1000
AT1G02060,1,-,363142,363142,364141,1000
AT1G02065,1,+,365165,364166,365165,1000
AT1G02067,1,-,367166,367166,368165,1000
AT1G02070,1,-,371090,371090,372089,1000
AT1G02080,1,+,373335,372336,373335,1000
AT1G02090,1,-,389808,389808,390807,1000
AT1G02100,1,+,389812,388813,389812,1000
AT1G02110,1,+,392831,391832,392831,1000
AT1G02120,1,+,395689,394690,395689,1000
AT1G02130,1,-,401919,401919,402918,1000
AT1G02140,1,-,404456,404456,405455,1000
AT1G02145,1,+,404600,403601,404600,1000
AT1G02150,1,+,408622,407623,408622,1000
AT1G02160,1,+,410744,409745,410744,1000
AT1G02170,1,+,411664,410665,411664,1000
AT1G02180,1,-,414649,414649,415648,1000
AT1G02190,1,+,415074,414075,415074,1000
AT1G02205,1,+,418416,417417,418416,1000
AT1G02210,1,-,427811,427811,428810,1000
AT1G02220,1,-,430720,430720,431719,1000
AT1G02230,1,-,436922,436922,437921,1000
AT1G02250,1,-,439559,439559,440558,1000
AT1G02260,1,-,442972,442972,443971,1000
AT1G02270,1,-,446296,446296,447295,1000
AT1G02280,1,-,450426,450426,451425,1000
AT1G02290,1,-,452743,452743,453742,1000
AT1G02300,1,+,453107,452108,453107,1000
AT1G02305,1,+,455688,454689,455688,1000
AT1G02310,1,-,460831,460831,461830,1000
AT1G02320,1,+,461828,460829,461828,1000
AT1G02330,1,-,463618,463618,464617,1000
AT1G02335,1,-,464981,464981,465980,1000
AT1G02340,1,-,467880,467880,468879,1000
AT1G02350,1,+,469818,468819,469818,1000
AT1G02360,1,-,473336,473336,474335,1000
AT1G02370,1,+,474373,473374,474373,1000
AT1G02380,1,+,476945,475946,476945,1000
AT1G02390,1,+,480650,479651,480650,1000
AT1G02400,1,+,486800,485801,486800,1000
AT1G02405,1,-,490627,490627,491626,1000
AT1G02410,1,+,490860,489861,490860,1000
AT1G02420,1,+,493639,492640,493639,1000
AT1G02430,1,-,496332,496332,497331,1000
AT1G02440,1,-,497555,497555,498554,1000
AT1G02450,1,-,498539,498539,499538,1000
AT1G02460,1,-,507268,507268,508267,1000
AT1G02470,1,-,513721,513721,514720,1000
AT1G02475,1,-,515422,515422,516421,1000
AT1G02490,1,+,516569,515570,516569,1000
AT1G02500,1,+,518091,517092,518091,1000
AT1G02510,1,-,521668,521668,522667,1000
AT1G02520,1,+,523536,522537,523536,1000
AT1G02530,1,+,529679,528680,529679,1000
AT1G02540,1,-,535699,535699,536698,1000
AT1G02550,1,+,536483,535484,536483,1000
AT1G02560,1,+,537740,536741,537740,1000
AT1G02570,1,+,541236,540237,541236,1000
AT1G02575,1,+,543011,542012,543011,1000
AT1G02580,1,+,544733,543734,544733,1000
AT1G02590,1,-,552761,552761,553760,1000
AT1G02610,1,-,556152,556152,557151,1000
AT1G02620,1,+,557092,556093,557092,1000
AT1G02630,1,-,562598,562598,563597,1000
AT1G02640,1,+,564018,563019,564018,1000
AT1G02650,1,+,568558,567559,568558,1000
AT1G02660,1,-,575085,575085,576084,1000
AT1G02670,1,+,575922,574923,575922,1000
AT1G02680,1,+,580625,579626,580625,1000
AT1G02690,1,+,584134,583135,584134,1000
AT1G02700,1,+,588003,587004,588003,1000
AT1G02705,1,+,589584,588585,589584,1000
AT1G02710,1,-,589996,589996,590995,1000
AT1G02720,1,+,591682,590683,591682,1000
AT1G02730,1,-,598657,598657,599656,1000
AT1G02740,1,-,602199,602199,603198,1000
AT1G02750,1,+,602489,601490,602489,1000
AT1G02770,1,-,606708,606708,607707,1000
AT1G02780,1,-,609534,609534,610533,1000
AT1G02790,1,-,612324,612324,613323,1000
AT1G02800,1,-,616231,616231,617230,1000
AT1G02810,1,+,618061,617062,618061,1000
AT1G02813,1,+,620678,619679,620678,1000
AT1G02816,1,+,621453,620454,621453,1000
AT1G02820,1,-,624567,624567,625566,1000
AT1G02830,1,-,625608,625608,626607,1000
AT1G02840,1,+,626639,625640,626639,1000
AT1G02850,1,+,630374,629375,630374,1000
AT1G02860,1,+,635144,634145,635144,1000
AT1G02870,1,-,638681,638681,639680,1000
AT1G02880,1,-,644903,644903,645902,1000
AT1G02890,1,-,652001,652001,653000,1000
AT1G02900,1,-,654457,654457,655456,1000
AT1G02910,1,-,658216,658216,659215,1000
AT1G02920,1,-,659980,659980,660979,1000
AT1G02930,1,-,662475,662475,663474,1000
AT1G02940,1,-,664290,664290,665289,1000
AT1G02950,1,-,666471,666471,667470,1000
AT1G02960,1,-,669919,669919,670918,1000
AT1G02965,1,-,672814,672814,673813,1000
AT1G02970,1,+,673306,672307,673306,1000
AT1G02980,1,+,677360,676361,677360,1000
AT1G02990,1,-,687385,687385,688384,1000
AT1G03000,1,-,692660,692660,693659,1000
AT1G03010,1,+,693190,692191,693190,1000
AT1G03020,1,-,698591,698591,699590,1000
AT1G03030,1,+,701365,700366,701365,1000
AT1G03040,1,-,706689,706689,707688,1000
AT1G03050,1,+,707485,706486,707485,1000
AT1G03055,1,-,711857,711857,712856,1000
AT1G03060,1,-,727553,727553,728552,1000
AT1G03070,1,+,729830,728831,729830,1000
AT1G03080,1,-,738306,738306,739305,1000
AT1G03090,1,+,739544,738545,739544,1000
AT1G03100,1,-,746701,746701,747700,1000
AT1G03103,1,+,747197,746198,747197,1000
AT1G03106,1,-,749034,749034,750033,1000
AT1G03110,1,+,749246,748247,749246,1000
AT1G03120,1,+,752191,751192,752191,1000
AT1G03130,1,-,754262,754262,755261,1000
AT1G03140,1,-,756303,756303,757302,1000
AT1G03150,1,+,756414,755415,756414,1000
AT1G03160,1,+,761261,760262,761261,1000
AT1G03165,1,+,766336,765337,766336,1000
AT1G03170,1,+,768376,767377,768376,1000
AT1G03180,1,+,773358,772359,773358,1000
AT1G03190,1,+,775527,774528,775527,1000
AT1G03200,1,+,780519,779520,780519,1000
AT1G03210,1,+,782904,781905,782904,1000
AT1G03220,1,+,786832,785833,786832,1000
AT1G03230,1,+,789820,788821,789820,1000
AT1G03240,1,-,793060,793060,794059,1000
AT1G03250,1,-,795403,795403,796402,1000
AT1G03260,1,-,798491,798491,799490,1000
AT1G03270,1,+,799115,798116,799115,1000
AT1G03280,1,+,802970,801971,802970,1000
AT1G03290,1,+,807361,806362,807361,1000
AT1G03300,1,-,813086,813086,814085,1000
AT1G03310,1,+,813413,812414,813413,1000
AT1G03320,1,+,816989,815990,816989,1000
AT1G03325,1,-,817178,817178,818177,1000
AT1G03330,1,-,819563,819563,820562,1000
AT1G03340,1,+,819612,818613,819612,1000
AT1G03350,1,-,824410,824410,825409,1000
AT1G03360,1,+,824517,823518,824517,1000
AT1G03365,1,+,826523,825524,826523,1000
AT1G03370,1,+,830550,829551,830550,1000
AT1G03380,1,+,835767,834768,835767,1000
AT1G03390,1,-,842418,842418,843417,1000
AT1G03395,1,+,841677,840678,841677,1000
AT1G03400,1,-,844251,844251,845250,1000
AT1G03410,1,-,847683,847683,848682,1000
AT1G03430,1,+,847793,846794,847793,1000
AT1G03440,1,+,852151,851152,852151,1000
AT1G03445,1,-,859701,859701,860700,1000
AT1G03457,1,-,864372,864372,865371,1000
AT1G03470,1,-,867733,867733,868732,1000
AT1G03475,1,-,871308,871308,872307,1000
AT1G03490,1,+,871874,870875,871874,1000
AT1G03495,1,+,873166,872167,873166,1000
AT1G03510,1,-,877556,877556,878555,1000
AT1G03520,1,-,880259,880259,881258,1000
AT1G03530,1,-,883599,883599,884598,1000
AT1G03540,1,+,883683,882684,883683,1000
AT1G03550,1,-,887956,887956,888955,1000
AT1G03560,1,-,892492,892492,893491,1000
AT1G03590,1,-,897718,897718,898717,1000
AT1G03600,1,+,898480,897481,898480,1000
AT1G03610,1,+,900732,899733,900732,1000
AT1G03620,1,-,907643,907643,908642,1000
AT1G03630,1,+,907523,906524,907523,1000
AT1G03650,1,-,911292,911292,912291,1000
AT1G03660,1,-,913808,913808,914807,1000
AT1G03670,1,-,916222,916222,917221,1000
AT1G03680,1,-,918064,918064,919063,1000
AT1G03687,1,+,918285,917286,918285,1000
AT1G03700,1,+,920950,919951,920950,1000
AT1G03710,1,+,923390,922391,923390,1000
AT1G03720,1,-,926373,926373,927372,1000
AT1G03730,1,-,931985,931985,932984,1000
AT1G03740,1,+,933426,932427,933426,1000
AT1G03750,1,+,937826,936827,937826,1000
AT1G03760,1,-,943377,943377,944376,1000
AT1G03770,1,+,944572,943573,944572,1000
AT1G03780,1,-,951850,951850,952849,1000
AT1G03790,1,+,954290,953291,954290,1000
AT1G03800,1,-,958383,958383,959382,1000
AT1G03810,1,+,958759,957760,958759,1000
AT1G03820,1,-,960916,960916,961915,1000
AT1G03830,1,-,966790,966790,967789,1000
AT1G03840,1,-,970334,970334,971333,1000
AT1G03850,1,-,977911,977911,978910,1000
AT1G03860,1,-,982002,982002,983001,1000
AT1G03870,1,-,983544,983544,984543,1000
AT1G03880,1,+,985751,984752,985751,1000
AT1G03890,1,+,989198,988199,989198,1000
AT1G03900,1,+,991106,990107,991106,1000
AT1G03905,1,+,993400,992401,993400,1000
AT1G03910,1,+,996076,995077,996076,1000
AT1G03920,1,+,1001116,1000117,1001116,1000
AT1G03930,1,+,1004688,1003689,1004688,1000
AT1G03940,1,-,1011145,1011145,1012144,1000
AT1G03950,1,-,1013365,1013365,1014364,1000
AT1G03960,1,+,1013643,1012644,1013643,1000
AT1G03970,1,+,1018058,1017059,1018058,1000
AT1G03980,1,-,1022108,1022108,1023107,1000
AT1G03982,1,-,1023719,1023719,1024718,1000
AT1G03990,1,+,1024740,1023741,1024740,1000
AT1G04000,1,-,1029119,1029119,1030118,1000
AT1G04010,1,-,1036264,1036264,1037263,1000
AT1G04020,1,+,1036493,1035494,1036493,1000
AT1G04030,1,+,1040375,1039376,1040375,1000
AT1G04040,1,-,1043887,1043887,1044886,1000
AT1G04050,1,-,1049864,1049864,1050863,1000
AT1G04070,1,-,1051194,1051194,1052193,1000
AT1G04080,1,+,1051312,1050313,1051312,1000
AT1G04090,1,+,1057041,1056042,1057041,1000
AT1G04100,1,+,1059470,1058471,1059470,1000
AT1G04105,1,-,1060348,1060348,1061347,1000
AT1G04110,1,-,1063809,1063809,1064808,1000
AT1G04120,1,-,1071080,1071080,1072079,1000
AT1G04130,1,+,1073274,1072275,1073274,1000
AT1G04140,1,-,1080630,1080630,1081629,1000
AT1G04150,1,-,1084431,1084431,1085430,1000
AT1G04160,1,+,1086170,1085171,1086170,1000
AT1G04170,1,+,1096882,1095883,1096882,1000
AT1G04180,1,+,1104493,1103494,1104493,1000
AT1G04190,1,-,1108725,1108725,1109724,1000
AT1G04200,1,+,1109395,1108396,1109395,1000
AT1G04210,1,+,1114375,1113376,1114375,1000
AT1G04220,1,-,1122786,1122786,1123785,1000
AT1G04230,1,+,1125515,1124516,1125515,1000
AT1G04240,1,-,1129689,1129689,1130688,1000
AT1G04250,1,+,1136078,1135079,1136078,1000
AT1G04260,1,-,1141564,1141564,1142563,1000
AT1G04270,1,-,1143130,1143130,1144129,1000
AT1G04280,1,-,1147091,1147091,1148090,1000
AT1G04290,1,-,1148533,1148533,1149532,1000
AT1G04300,1,-,1154667,1154667,1155666,1000
AT1G04310,1,-,1157813,1157813,1158812,1000
AT1G04330,1,-,1161982,1161982,1162981,1000
AT1G04340,1,-,1164861,1164861,1165860,1000
AT1G04350,1,+,1164910,1163911,1164910,1000
AT1G04360,1,-,1169034,1169034,1170033,1000
AT1G04370,1,+,1175033,1174034,1175033,1000
AT1G04380,1,-,1178488,1178488,1179487,1000
AT1G04390,1,-,1183704,1183704,1184703,1000
AT1G04400,1,-,1188696,1188696,1189695,1000
AT1G04410,1,-,1191458,1191458,1192457,1000
AT1G04420,1,+,1191519,1190520,1191519,1000
AT1G04430,1,+,1197956,1196957,1197956,1000
AT1G04440,1,+,1202160,1201161,1202160,1000
AT1G04445,1,+,1206760,1205761,1206760,1000
AT1G04450,1,+,1208521,1207522,1208521,1000
AT1G04455,1,+,1210269,1209270,1210269,1000
AT1G04470,1,-,1214841,1214841,1215840,1000
AT1G04480,1,+,1215925,1214926,1215925,1000
AT1G04490,1,-,1220899,1220899,1221898,1000
AT1G04500,1,-,1224539,1224539,1225538,1000
AT1G04510,1,+,1226483,1225484,1226483,1000
AT1G04520,1,+,1231452,1230453,1231452,1000
AT1G04530,1,-,1236206,1236206,1237205,1000
AT1G04540,1,+,1236754,1235755,1236754,1000
AT1G04550,1,+,1240294,1239295,1240294,1000
AT1G04555,1,+,1242506,1241507,1242506,1000
AT1G04560,1,+,1244947,1243948,1244947,1000
AT1G04570,1,-,1248876,1248876,1249875,1000
AT1G04580,1,-,1257893,1257893,1258892,1000
AT1G04590,1,-,1261470,1261470,1262469,1000
AT1G04600,1,+,1261762,1260763,1261762,1000
AT1G04610,1,+,1279351,1278352,1279351,1000
AT1G04620,1,-,1286619,1286619,1287618,1000
AT1G04625,1,-,1289820,1289820,1290819,1000
AT1G04630,1,-,1291112,1291112,1292111,1000
AT1G04635,1,+,1291300,1290301,1291300,1000
AT1G04640,1,+,1292023,1291024,1292023,1000
AT1G04645,1,-,1294263,1294263,1295262,1000
AT1G04650,1,-,1299023,1299023,1300022,1000
AT1G04660,1,-,1301773,1301773,1302772,1000
AT1G04670,1,+,1301829,1300830,1301829,1000
AT1G04680,1,-,1307973,1307973,1308972,1000
AT1G04690,1,+,1313443,1312444,1313443,1000
AT1G04700,1,+,1316139,1315140,1316139,1000
AT1G04710,1,+,1321885,1320886,1321885,1000
AT1G04730,1,-,1331169,1331169,1332168,1000
AT1G04750,1,-,1333651,1333651,1334650,1000
AT1G04760,1,+,1334533,1333534,1334533,1000
AT1G04770,1,-,1337849,1337849,1338848,1000
AT1G04778,1,+,1339588,1338589,1339588,1000
AT1G04780,1,-,1343793,1343793,1344792,1000
AT1G04790,1,+,1344989,1343990,1344989,1000
AT1G04800,1,-,1349478,1349478,1350477,1000
AT1G04810,1,+,1350080,1349081,1350080,1000
AT1G04820,1,-,1358547,1358547,1359546,1000
AT1G04830,1,-,1362019,1362019,1363018,1000
AT1G04840,1,-,1365027,1365027,1366026,1000
AT1G04850,1,-,1368940,1368940,1369939,1000
AT1G04860,1,-,1373103,1373103,1374102,1000
AT1G04870,1,-,1375821,1375821,1376820,1000
AT1G04880,1,-,1379228,1379228,1380227,1000
AT1G04890,1,-,1382599,1382599,1383598,1000
AT1G04895,1,-,1383422,1383422,1384421,1000
AT1G04900,1,+,1383841,1382842,1383841,1000
AT1G04910,1,-,1391381,1391381,1392380,1000
AT1G04920,1,-,1395953,1395953,1396952,1000
AT1G04930,1,-,1399122,1399122,1400121,1000
AT1G04945,1,+,1399174,1398175,1399174,1000
AT1G04940,1,+,1399182,1398183,1399182,1000
AT1G04950,1,-,1407531,1407531,1408530,1000
AT1G04960,1,-,1410933,1410933,1411932,1000
AT1G04970,1,+,1411088,1410089,1411088,1000
AT1G04980,1,-,1416218,1416218,1417217,1000
AT1G04985,1,-,1419027,1419027,1420026,1000
AT1G04990,1,-,1421863,1421863,1422862,1000
AT1G05000,1,+,1425539,1424540,1425539,1000
AT1G05005,1,+,1429048,1428049,1429048,1000
AT1G05010,1,-,1433010,1433010,1434009,1000
AT1G05020,1,-,1437763,1437763,1438762,1000
AT1G05030,1,-,1441933,1441933,1442932,1000
AT1G05035,1,+,1444983,1443984,1444983,1000
AT1G05040,1,-,1448463,1448463,1449462,1000
AT1G05055,1,-,1450901,1450901,1451900,1000
AT1G05060,1,-,1452872,1452872,1453871,1000
AT1G05065,1,-,1455322,1455322,1456321,1000
AT1G05070,1,-,1458802,1458802,1459801,1000
AT1G05080,1,+,1459091,1458092,1459091,1000
AT1G05085,1,+,1460988,1459989,1460988,1000
AT1G05087,1,+,1463108,1462109,1463108,1000
AT1G05090,1,+,1464239,1463240,1464239,1000
AT1G05100,1,+,1469541,1468542,1469541,1000
AT1G05120,1,-,1476289,1476289,1477288,1000
AT1G05136,1,+,1478923,1477924,1478923,1000
AT1G05140,1,+,1482546,1481547,1482546,1000
AT1G05150,1,-,1487027,1487027,1488026,1000
AT1G05160,1,-,1491005,1491005,1492004,1000
AT1G05170,1,-,1494248,1494248,1495247,1000
AT1G05180,1,-,1501953,1501953,1502952,1000
AT1G05190,1,-,1503853,1503853,1504852,1000
AT1G05200,1,+,1504941,1503942,1504941,1000
AT1G05205,1,-,1510341,1510341,1511340,1000
AT1G05210,1,+,1510404,1509405,1510404,1000
AT1G05220,1,+,1511895,1510896,1511895,1000
AT1G05230,1,-,1518900,1518900,1519899,1000
AT1G05240,1,+,1520278,1519279,1520278,1000
AT1G05250,1,-,1527360,1527360,1528359,1000
AT1G05260,1,+,1529767,1528768,1529767,1000
AT1G05270,1,-,1534767,1534767,1535766,1000
AT1G05280,1,-,1537602,1537602,1538601,1000
AT1G05290,1,-,1540562,1540562,1541561,1000
AT1G05291,1,-,1542432,1542432,1543431,1000
AT1G05300,1,-,1547849,1547849,1548848,1000
AT1G05310,1,-,1552587,1552587,1553586,1000
AT1G05320,1,+,1553568,1552569,1553568,1000
AT1G05330,1,+,1558058,1557059,1558058,1000
AT1G05340,1,-,1559917,1559917,1560916,1000
AT1G05350,1,-,1564409,1564409,1565408,1000
AT1G05360,1,+,1564491,1563492,1564491,1000
AT1G05370,1,-,1572469,1572469,1573468,1000
AT1G05380,1,+,1576822,1575823,1576822,1000
AT1G05385,1,-,1583760,1583760,1584759,1000
AT1G05400,1,+,1584073,1583074,1584073,1000
AT1G05410,1,-,1587794,1587794,1588793,1000
AT1G05420,1,+,1589973,1588974,1589973,1000
AT1G05430,1,-,1595923,1595923,1596922,1000
AT1G05440,1,-,1597940,1597940,1598939,1000
AT1G05450,1,+,1599876,1598877,1599876,1000
AT1G05460,1,-,1605034,1605034,1606033,1000
AT1G05470,1,-,1611840,1611840,1612839,1000
AT1G05490,1,-,1623489,1623489,1624488,1000
AT1G05500,1,+,1624919,1623920,1624919,1000
AT1G05510,1,+,1629446,1628447,1629446,1000
AT1G05520,1,-,1636018,1636018,1637017,1000
AT1G05530,1,-,1637914,1637914,1638913,1000
AT1G05540,1,+,1639223,1638224,1639223,1000
AT1G05550,1,-,1643917,1643917,1644916,1000
AT1G05560,1,-,1647435,1647435,1648434,1000
AT1G05570,1,-,1659611,1659611,1660610,1000
AT1G05575,1,-,1662259,1662259,1663258,1000
AT1G05577,1,-,1664398,1664398,1665397,1000
AT1G05580,1,-,1668924,1668924,1669923,1000
AT1G05590,1,+,1669350,1668351,1669350,1000
AT1G05600,1,+,1671916,1670917,1671916,1000
AT1G05610,1,-,1676077,1676077,1677076,1000
AT1G05615,1,-,1678270,1678270,1679269,1000
AT1G05620,1,+,1678881,1677882,1678881,1000
AT1G05630,1,+,1682224,1681225,1682224,1000
AT1G05640,1,-,1689955,1689955,1690954,1000
AT1G05650,1,-,1692179,1692179,1693178,1000
AT1G05660,1,-,1696191,1696191,1697190,1000
AT1G05670,1,-,1701065,1701065,1702064,1000
AT1G05675,1,-,1702749,1702749,1703748,1000
AT1G05680,1,-,1704838,1704838,1705837,1000
AT1G05690,1,+,1706736,1705737,1706736,1000
AT1G05700,1,+,1709673,1708674,1709673,1000
AT1G05710,1,+,1714818,1713819,1714818,1000
AT1G05720,1,-,1718909,1718909,1719908,1000
AT1G05730,1,+,1718555,1717556,1718555,1000
AT1G05740,1,+,1720593,1719594,1720593,1000
AT1G05750,1,+,1721509,1720510,1721509,1000
AT1G05760,1,-,1724534,1724534,1725533,1000
AT1G05770,1,-,1726321,1726321,1727320,1000
AT1G05780,1,+,1726558,1725559,1726558,1000
AT1G05783,1,-,1729789,1729789,1730788,1000
AT1G05785,1,+,1730242,1729243,1730242,1000
AT1G05790,1,+,1732802,1731803,1732802,1000
AT1G05800,1,+,1741204,1740205,1741204,1000
AT1G05805,1,+,1744444,1743445,1744444,1000
AT1G05810,1,+,1748259,1747260,1748259,1000
AT1G05820,1,+,1749478,1748479,1749478,1000
AT1G05830,1,+,1754130,1753131,1754130,1000
AT1G05835,1,+,1762145,1761146,1762145,1000
AT1G05840,1,-,1766283,1766283,1767282,1000
AT1G05850,1,-,1768837,1768837,1769836,1000
AT1G05860,1,+,1768986,1767987,1768986,1000
AT1G05870,1,-,1773385,1773385,1774384,1000
AT1G05880,1,+,1775643,1774644,1775643,1000
AT1G05890,1,+,1779256,1778257,1779256,1000
AT1G05894,1,+,1784736,1783737,1784736,1000
AT1G05900,1,+,1786849,1785850,1786849,1000
AT1G05910,1,+,1790216,1789217,1790216,1000
AT1G05920,1,+,1796778,1795779,1796778,1000
AT1G05930,1,+,1799418,1798419,1799418,1000
AT1G05940,1,-,1804000,1804000,1804999,1000
AT1G05950,1,-,1807670,1807670,1808669,1000
AT1G05960,1,-,1815568,1815568,1816567,1000
AT1G05970,1,-,1817336,1817336,1818335,1000
AT1G05990,1,+,1818392,1817393,1818392,1000
AT1G06000,1,-,1821894,1821894,1822893,1000
AT1G06010,1,+,1822583,1821584,1822583,1000
AT1G06020,1,+,1824250,1823251,1824250,1000
AT1G06030,1,+,1826803,1825804,1826803,1000
AT1G06040,1,-,1829983,1829983,1830982,1000
AT1G06045,1,+,1829522,1828523,1829522,1000
AT1G06050,1,-,1832555,1832555,1833554,1000
AT1G06060,1,+,1832941,1831942,1832941,1000
AT1G06070,1,-,1837758,1837758,1838757,1000
AT1G06080,1,+,1843463,1842464,1843463,1000
AT1G06090,1,+,1846701,1845702,1846701,1000
AT1G06100,1,+,1851472,1850473,1851472,1000
AT1G06110,1,-,1855378,1855378,1856377,1000
AT1G06120,1,+,1855910,1854911,1855910,1000
AT1G06130,1,-,1860938,1860938,1861937,1000
AT1G06135,1,+,1862184,1861185,1862184,1000
AT1G06137,1,-,1863840,1863840,1864839,1000
AT1G06140,1,+,1864774,1863775,1864774,1000
AT1G06143,1,-,1868905,1868905,1869904,1000
AT1G06150,1,-,1873730,1873730,1874729,1000
AT1G06148,1,-,1877573,1877573,1878572,1000
AT1G06160,1,+,1882907,1881908,1882907,1000
AT1G06170,1,-,1886904,1886904,1887903,1000
AT1G06180,1,+,1889362,1888363,1889362,1000
AT1G06190,1,-,1894194,1894194,1895193,1000
AT1G06200,1,-,1897027,1897027,1898026,1000
AT1G06210,1,+,1897129,1896130,1897129,1000
AT1G06220,1,+,1899951,1898952,1899951,1000
AT1G06225,1,+,1905918,1904919,1905918,1000
AT1G06230,1,+,1906963,1905964,1906963,1000
AT1G06240,1,+,1911095,1910096,1911095,1000
AT1G06250,1,-,1914895,1914895,1915894,1000
AT1G06260,1,+,1916430,1915431,1916430,1000
AT1G06270,1,-,1919760,1919760,1920759,1000
AT1G06280,1,-,1920949,1920949,1921948,1000
AT1G06290,1,+,1922208,1921209,1922208,1000
AT1G06310,1,+,1926652,1925653,1926652,1000
